"PLACEKEY","PARENT_PLACEKEY","LOCATION_NAME","SAFEGRAPH_BRAND_IDS","BRANDS","STORE_ID","TOP_CATEGORY","SUB_CATEGORY","NAICS_CODE","LATITUDE","LONGITUDE","STREET_ADDRESS","CITY","REGION","POSTAL_CODE","ISO_COUNTRY_CODE","PHONE_NUMBER","OPEN_HOURS","CATEGORY_TAGS","OPENED_ON","CLOSED_ON","TRACKING_CLOSED_SINCE","GEOMETRY_TYPE","DOMAINS","WEBSITE"
"222-222@3xb-kpf-f9f","","Guardian and I.D.A. Pharmacy","SG_BRAND_10a9215a7d097f42","Guardian and I.D.A. Pharmacy",7011512.0,"Health and Personal Care Stores","Pharmacies and Drug Stores",446110.0,53.109503,-114.473204,"5031 50th Ave","Breton","AB","T0C 0P0","CA",17806963594.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }","Convenience Store,Cosmetics,Diagnostic Services,Medical Supplies,Vitamins and Supplements","","","2021-07","POLYGON","""[\\""guardian-ida-remedysrx.ca\\""]""","https://www.guardian-ida-pharmacies.ca/en/alberta/breton/breton-pharmacy-7011512"
"222-222@3xd-sqy-4y9","222-226@3xd-sqy-4y9","Real Canadian Superstore","SG_BRAND_70a9567c853bfe0e","Real Canadian Superstore","","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores",445110.0,53.887276,-122.768963,"2155 Ferry Ave","Prince George","BC","V2N 5E8","CA",12509601327.0,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""7:00"", ""22:00""]], ""Sat"": [[""7:00"", ""22:00""]], ""Sun"": [[""7:00"", ""22:00""]] }","Discount Store,Healthy Food,Meats,Sandwich Shop,Seafood","","","2019-07","POLYGON","""[\\""realcanadiansuperstore.ca\\""]""","https://www.realcanadiansuperstore.ca/store-locator/details/1562"
"222-222@3z3-cw5-v75","","Perseverance Trail","","","","Amusement Parks and Arcades","Amusement and Theme Parks",713110.0,58.315019,-134.365468,"1050 Harbor Way","Juneau","AK","99801","US","","","","","","2019-07","POLYGON","""[]""",""
"222-222@4dp-ft4-zs5","","Seafront Systems","","","","Department Stores","",4522.0,52.002084,-4.992444,"Seafront Garage","Goodwick","Dyfed","sa64 0de","GB",441348871876.0,"","","","","","POLYGON","""[]""",""
"222-222@4dp-g6p-yqf","","St Davids Escape Room","","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990.0,51.913836,-5.220795,"East Farm","Haverfordwest","Dyfed","SA62 6DE","GB",447933011615.0,"","","","","","POLYGON","""[\\""stdavidsescaperoom.com\\""]""",""
"222-222@4fc-9t5-h5z","","Porthmellin Cafe","","","","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars",722515.0,50.015299,-5.258301,"""Tr12 7Es, Gb""","","Cornwall","TR12 7ES","GB",441326240941.0,"","","","","","POLYGON","""[\\""edan.io\\""]""",""
"222-222@4fd-9w7-btv","","Gulls Way holiday apartment Falmouth","","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110.0,50.157956,-5.072907,"61 High Street","Falmouth","Cornwall","TR11 2UH","GB",447969742110.0,"","","","","","POLYGON","""[\\""gullswayfalmouth.co.uk\\""]""",""
"222-222@4fd-crt-47q","","POD Point Charging Station","","","","Gasoline Stations","Other Gasoline Stations",447190.0,50.416135,-4.127263,"215 Tavistock Road Windsor House","Plymouth","Devon","PL6 5UF","GB","","","","","","","POINT","""[]""",""
"222-222@4fd-ctq-b8v","","Brian Coad","","","","Beer, Wine, and Liquor Stores","",4453.0,50.388908,-4.069316,"41B Valley Road","Plymouth","Devon","PL7 1RF","GB",441752334970.0,"","Alcoholic Beverages","","","","POLYGON","""[]""",""
"222-222@4gv-vv9-ct9","","Raphael Glenroy","","","","Personal Care Services","",8121.0,55.896747,-4.357508,"166 Archerhill Road","Glasgow","City of Glasgow","G13 3JG","GB",441419547193.0,"","Hair Salon","","","","POLYGON","""[]""",""
"222-222@4gv-wmy-wff","","Feochan Mhor Smokehouse","","","","Restaurants and Other Eating Places","",7225.0,56.372011,-5.434915,"Kilmore House","Oban","Argyll and Bute","PA34 4XT","GB",441631770670.0,"","BBQ and Southern Food","","","","POLYGON","""[]""",""
"222-222@4h7-8yk-35z","","Moray Firth Motors","","","","Automotive Repair and Maintenance","",8111.0,57.485703,-4.214831,"32 Harbour Road","Inverness","Inverness","IV1 1UF","GB","","","Auto Repair","","","","POLYGON","""[\\""pages-uk.com\\""]""",""
"222-222@4hf-9pn-mrk","","Trudis Beauty Room","","","","Personal Care Services","Hair, Nail, and Skin Care Services",81211.0,52.653446,1.206792,"51 Longwater Lane","Norwich","Norfolk","NR5 0TB","GB",447946538257.0,"","","","","","POLYGON","""[\\""trudis.co.uk\\""]""",""
"222-222@4hf-bby-fmk","","Hill Farm CL site And Holiday Lets","","","","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars",722515.0,52.284774,1.539983,"Lymballs Lane Hill Farm","Saxmundham","Suffolk","IP17 3QH","GB",447949949480.0,"","","","","","POLYGON","""[\\""hillfarmclsite.co.uk\\""]""",""
"222-222@4hf-chb-5xq","","Cheney Hollow","","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110.0,52.904094,0.489205,"3 Cheney Hill Cheney Hollow","King's Lynn","Norfolk","PE31 7BX","GB",441485572625.0,"","","","","","POLYGON","""[]""",""
"222-222@4hf-dt7-2rk","","S W & R Howard","","","","Building Finishing Contractors","",2383.0,52.550823,1.013328,"Half Field Lane Four Seasons","Wymondham","Norfolk","NR18 9DJ","GB","","","Contractors","","","","POLYGON","""[]""",""
"222-222@4hf-k2z-mzf","","Century Park Networkcentre","","","","Warehousing and Storage","General Warehousing and Storage",493110.0,53.513864,-1.365191,"Dearne Lane Century Park Network Centre","Rotherham","South Yorkshire","S63 5DE","GB",441512420911.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","","","","","POLYGON","""[]""",""
"222-222@4hf-kb2-4qf","","A Shaw","","","","Building Finishing Contractors","",2383.0,53.527812,-1.625452,"33 Tennyson Close","Sheffield","South Yorkshire","S36 6GY","GB","","","Contractors","","","","POLYGON","""[]""",""
"222-222@4hf-knz-fzz","","S & J Day Haulage","","","","Warehousing and Storage","General Warehousing and Storage",493110.0,53.538976,-1.180807,"32 Barnsley Road","Doncaster","South Yorkshire","DN5 8QJ","GB",441302782591.0,"","","","","","POLYGON","""[]""",""
"222-222@4hf-m28-k75","","Stringfellow Construction","","","","Building Finishing Contractors","",2383.0,53.167351,-1.184011,"5 Salisbury Close","Mansfield","Nottinghamshire","NG19 8JS","GB","","","Contractors","","","","POLYGON","""[]""",""
